1,8/8/6P1/8/8/1kb2K2/1p6/5R2 b - - 9 50,1/2
1,8/8/6P1/8/8/2b2K2/1pk5/5R2 w - - 10 51,1/2
1,8/8/6P1/8/4K3/2b5/1pk5/5R2 b - - 11 51,1/2
1,8/6b1/6P1/8/4K3/8/1pk5/5R2 w - - 12 52,1/2
1,8/6b1/6P1/8/4K3/8/1pk2R2/8 b - - 13 52,1/2
1,8/6b1/6P1/8/4K3/8/1p3R2/2k5 w - - 14 53,1/2
1,8/6b1/6P1/8/4K3/8/1R6/2k5 b - - 0 53,1/2
1,8/6b1/6P1/8/4K3/8/1k6/8 w - - 0 54,1/2
1,8/6b1/6P1/5K2/8/8/1k6/8 b - - 1 54,1/2
1,8/6b1/6P1/5K2/8/2k5/8/8 w - - 2 55,1/2
1,8/6b1/4K1P1/8/8/2k5/8/8 b - - 3 55,1/2
1,8/6b1/4K1P1/8/3k4/8/8/8 w - - 4 56,1/2
1,8/5Kb1/6P1/8/3k4/8/8/8 b - - 5 56,1/2
1,8/5K2/6P1/4b3/3k4/8/8/8 w - - 6 57,1/2
1,8/5KP1/8/4b3/3k4/8/8/8 b - - 0 57,1/2
1,8/5Kb1/8/8/3k4/8/8/8 w - - 0 58,1/2
1,8/8/4Bn2/1k3p2/5P1P/3K2P1/8/8 w - - 0 43,1-0
1,8/8/5n2/1k3B2/5P1P/3K2P1/8/8 b - - 0 43,1-0
1,8/8/2k2n2/5B2/5P1P/3K2P1/8/8 w - - 1 44,1-0
1,8/8/2k2n2/5B2/3K1P1P/6P1/8/8 b - - 2 44,1-0
1,8/8/3k1n2/5B2/3K1P1P/6P1/8/8 w - - 3 45,1-0
1,8/8/3k1n2/5B2/3K1PPP/8/8/8 b - - 0 45,1-0
1,8/4k3/5n2/5B2/3K1PPP/8/8/8 w - - 1 46,1-0
1,8/4k3/5n2/5BP1/3K1P1P/8/8/8 b - - 0 46,1-0
1,8/4k3/8/5BPn/3K1P1P/8/8/8 w - - 1 47,1-0
1,8/4k3/8/4KBPn/5P1P/8/8/8 b - - 2 47,1-0
1,8/5k2/8/4KBPn/5P1P/8/8/8 w - - 3 48,1-0
1,8/5k2/8/4K1Pn/5PBP/8/8/8 b - - 4 48,1-0
1,8/8/6k1/4K1Pn/5PBP/8/8/8 w - - 5 49,1-0
1,8/8/6k1/4K1PB/5P1P/8/8/8 b - - 0 49,1-0
1,8/8/8/4K1Pk/5P1P/8/8/8 w - - 0 50,1-0
1,8/8/8/4KPPk/7P/8/8/8 b - - 0 50,1-0
1,8/8/8/4KPP1/7k/8/8/8 w - - 0 51,1-0
1,8/8/5P2/4K1P1/7k/8/8/8 b - - 0 51,1-0
1,8/8/5P2/4K1k1/8/8/8/8 w - - 0 52,1-0
1,8/5P2/8/4K1k1/8/8/8/8 b - - 0 52,1-0
1,8/5P2/6k1/4K3/8/8/8/8 w - - 1 53,1-0
1,5Q2/8/6k1/4K3/8/8/8/8 b - - 0 53,1-0
1,5Q2/7k/8/4K3/8/8/8/8 w - - 1 54,1-0
1,8/7k/8/4K3/8/8/8/5Q2 b - - 2 54,1-0
1,8/8/6k1/4K3/8/8/8/5Q2 w - - 3 55,1-0
1,8/8/4K1k1/8/8/8/8/5Q2 b - - 4 55,1-0
1,8/6k1/4K3/8/8/8/8/5Q2 w - - 5 56,1-0
1,8/6k1/4K3/8/8/8/6Q1/8 b - - 6 56,1-0
1,5k2/8/4K3/8/8/8/6Q1/8 w - - 7 57,1-0
1,5k2/1Q6/4K3/8/8/8/8/8 b - - 8 57,1-0
1,6k1/1Q6/4K3/8/8/8/8/8 w - - 9 58,1-0
1,6k1/1Q6/5K2/8/8/8/8/8 b - - 10 58,1-0
1,7k/1Q6/5K2/8/8/8/8/8 w - - 11 59,1-0
1,7k/6Q1/5K2/8/8/8/8/8 b - - 12 59,1-0
1,8/8/7R/6p1/2K3k1/5R2/r1P4P/8 w - - 0 45,1-0
1,8/8/7R/6p1/2K2k2/6R1/r1P4P/8 w - - 2 46,1-0
1,8/8/5R2/4k1p1/2K5/6R1/r1P4P/8 w - - 4 47,1-0
1,8/8/1R6/4k1p1/2K5/6R1/2r4P/8 w - - 0 48,1-0
1,8/8/1R6/4k1p1/8/3K2R1/2r4P/8 b - - 1 48,1-0
1,8/8/1R6/4k1p1/8/3K2R1/7r/8 w - - 0 49,1-0
1,8/8/1R6/4k1R1/8/3K4/7r/8 b - - 0 49,1-0
1,8/8/1R6/6R1/5k2/3K4/7r/8 w - - 1 50,1-0
1,8/8/8/1R4R1/5k2/3K4/7r/8 b - - 2 50,1-0
1,8/8/8/1R4R1/5k2/3K3r/8/8 w - - 3 51,1-0
1,8/8/8/1R4R1/2K2k2/7r/8/8 b - - 4 51,1-0
1,8/8/8/1R4Rr/2K2k2/8/8/8 w - - 5 52,1-0
1,8/8/8/1R5R/2K2k2/8/8/8 b - - 0 52,1-0
1,8/8/p1p5/k2p2p1/4p2p/7K/8/8 w - - 0 60,0-1
1,8/8/p7/k1pp2p1/4p1Kp/8/8/8 w - - 0 61,0-1
1,8/8/p7/k1pp2K1/4p2p/8/8/8 b - - 0 61,0-1
1,8/8/p7/k1pp2K1/4p3/7p/8/8 w - - 0 62,0-1
1,8/8/p7/k1pp4/4p2K/7p/8/8 b - - 1 62,0-1
1,8/8/p7/k1pp4/4p2K/8/7p/8 w - - 0 63,0-1
1,8/8/p7/k1pp4/4p3/6K1/7p/8 b - - 1 63,0-1
1,8/8/p7/k1pp4/4p3/6K1/8/7q w - - 0 64,0-1
1,8/8/p7/k1pp4/4p3/8/5K2/7q b - - 1 64,0-1
1,8/8/p7/k1pp4/4p3/8/5K2/3q4 w - - 2 65,0-1
1,8/8/p7/k1pp4/4p3/4K3/8/3q4 b - - 3 65,0-1
1,8/8/p7/k1pp4/4p3/3qK3/8/8 w - - 4 66,0-1
1,8/8/p7/k1pp4/4pK2/3q4/8/8 b - - 5 66,0-1
1,8/8/p7/k2p4/2p1pK2/3q4/8/8 w - - 0 67,0-1
1,8/8/p7/k2pK3/2p1p3/3q4/8/8 b - - 1 67,0-1
1,8/8/p7/k2pK3/4p3/2pq4/8/8 w - - 0 68,0-1
1,8/8/p2K4/k2p4/4p3/2pq4/8/8 b - - 1 68,0-1
1,8/8/p2K4/k2p4/4p3/3q4/2p5/8 w - - 0 69,0-1
1,8/8/4k3/8/5R2/5prP/PP6/5K2 w - - 1 45,1-0
1,8/8/8/4k3/5R2/5prP/PP3K2/8 w - - 3 46,1-0
1,8/8/8/4k3/5R2/5pKP/PP6/8 b - - 0 46,1-0
1,8/6rp/8/8/4rk2/3R4/6P1/5BK1 w - - 1 46,1/2
1,8/6rp/8/8/4r1k1/5R2/6P1/5BK1 w - - 3 47,1/2
1,8/6rp/8/8/1r4k1/3B1R2/6P1/6K1 w - - 5 48,1/2
1,8/6rp/8/8/6k1/3B1R2/1r3KP1/8 w - - 7 49,1/2
1,8/6rp/8/6k1/8/5R2/1r2BKP1/8 w - - 9 50,1/2
1,8/6rp/5k2/8/8/6R1/1r2BKP1/8 w - - 11 51,1/2
1,8/6rp/8/4k3/8/5R2/1r2BKP1/8 w - - 13 52,1/2
1,8/6rp/8/8/3k4/4R3/1r2BKP1/8 w - - 15 53,1/2
1,8/6rp/8/2k5/8/3R4/1r2BKP1/8 w - - 17 54,1/2
1,8/6rp/8/8/1k6/2R5/1r2BKP1/8 w - - 19 55,1/2
1,8/6r1/8/7p/1k6/4R3/1r2BKP1/8 w - h6 0 56,1/2
1,8/6r1/8/7p/4R3/k7/1r2BKP1/8 w - - 2 57,1/2
1,8/6r1/8/7p/8/4R3/kr2BKP1/8 w - - 4 58,1/2
1,8/5r2/8/7p/8/4RK2/kr2B1P1/8 w - - 6 59,1/2
1,8/6r1/8/7p/8/4R1K1/kr2B1P1/8 w - - 8 60,1/2
1,8/8/8/6rp/8/4R2K/kr2B1P1/8 w - - 10 61,1/2
1,8/8/8/1r4rp/8/4RB1K/k5P1/8 w - - 12 62,1/2
1,8/8/8/1r4rp/8/k4B1K/4R1P1/8 w - - 14 63,1/2
1,8/8/8/1r4rp/1k6/4RB1K/6P1/8 w - - 16 64,1/2
1,8/8/8/kr4rp/4R3/5B1K/6P1/8 w - - 18 65,1/2
1,8/8/1k6/1r4rp/4R2K/5B2/6P1/8 w - - 20 66,1/2
1,8/2k5/4R3/1r4rp/7K/5B2/6P1/8 w - - 22 67,1/2
1,8/2k5/7R/1r2r2p/7K/5B2/6P1/8 w - - 24 68,1/2
1,8/2k5/8/1r2r2R/7K/5B2/6P1/8 b - - 0 68,1/2
1,8/2k5/8/1r5r/7K/5B2/6P1/8 w - - 0 69,1/2
1,8/2k5/8/1r5B/7K/8/6P1/8 b - - 0 69,1/2
1,8/8/3k4/1r5B/7K/8/6P1/8 w - - 1 70,1/2
1,8/8/3k4/1r5B/6PK/8/8/8 b - g3 0 70,1/2
1,8/4k3/8/1r5B/6PK/8/8/8 w - - 1 71,1/2
1,8/4k3/8/1r4PB/7K/8/8/8 b - - 0 71,1/2
1,8/4k3/8/6PB/1r5K/8/8/8 w - - 1 72,1/2
1,8/4k3/8/6P1/1r4BK/8/8/8 b - - 2 72,1/2
1,8/5k2/8/6P1/1r4BK/8/8/8 w - - 3 73,1/2
1,8/5k2/8/6PK/1r4B1/8/8/8 b - - 4 73,1/2
1,8/6k1/8/6PK/1r4B1/8/8/8 w - - 5 74,1/2
1,8/6k1/8/5BPK/1r6/8/8/8 b - - 6 74,1/2
1,8/6k1/8/1r3BPK/8/8/8/8 w - - 7 75,1/2
1,8/6k1/8/1r4PK/8/3B4/8/8 b - - 8 75,1/2
1,8/6k1/8/3r2PK/8/3B4/8/8 w - - 9 76,1/2
1,8/6k1/8/3r2PK/4B3/8/8/8 b - - 10 76,1/2
1,8/6k1/8/4r1PK/4B3/8/8/8 w - - 11 77,1/2
1,8/6k1/8/4r1PK/8/8/2B5/8 b - - 12 77,1/2
1,8/6k1/8/6PK/8/8/2B1r3/8 w - - 13 78,1/2
1,8/6k1/8/6PK/8/3B4/4r3/8 b - - 14 78,1/2
1,8/6k1/8/6PK/8/3B4/7r/8 w - - 15 79,1/2
1,8/6k1/8/6P1/6K1/3B4/7r/8 b - - 16 79,1/2
1,8/6k1/8/6P1/6K1/3B4/8/7r w - - 17 80,1/2
1,8/6k1/8/5BP1/6K1/8/8/7r b - - 18 80,1/2
1,8/6k1/8/5BP1/6K1/8/8/5r2 w - - 19 81,1/2
1,8/6k1/8/6P1/4B1K1/8/8/5r2 b - - 20 81,1/2
1,8/6k1/8/6P1/4B1K1/8/8/6r1 w - - 21 82,1/2
1,8/6k1/8/6P1/4BK2/8/8/6r1 b - - 22 82,1/2
1,8/6k1/8/6r1/4BK2/8/8/8 w - - 0 83,1/2
